Locus_name	Locus_TAIR_accession	InteractorLocus_name	InteractorLocus_TAIR_accession	Evidence_code	Evidence_description	TAIR_reference_id	PubMed_id	Date_updated	Annotated_by
AT1G01040	Locus:2200960	AT1G09700	Locus:2024407	IPI	far-Western analysis	Publication:501717798	PMID:15821876	5/11/06	TAIR
AT1G02140	Locus:2205630	AT1G51510	Locus:2033888	IPI	fusion protein pull-down assay	Publication:501719990	PMID:16953428	3/4/08	TAIR
AT1G02280	Locus:2204923	AT4G35450	Locus:2117607	IDA	in vitro reconstitution assay with recombinant protein	Publication:501723949	PMID:18193034	5/22/09	BIOGRID
AT1G02340	Locus:2204898	AT1G09530	Locus:2012345	IDA	in vitro reconstitution assay with recombinant protein	Publication:501683125	PMID:10995393	5/22/09	BIOGRID
AT1G02340	Locus:2204898	AT1G26945	Locus:1005716685	IPI	yeast two-hybrid assay	Publication:501719365	PMID:16786307	5/22/09	BIOGRID
AT1G02340	Locus:2204898	AT2G32950	Locus:2059359	IPI	yeast two-hybrid assay	Publication:501714863	PMID:15620659	5/22/09	BIOGRID
AT1G02340	Locus:2204898	AT2G46340	Locus:2039139	IPI	yeast two-hybrid assay	Publication:501716426	PMID:15960622	5/8/06	TAIR
AT1G02340	Locus:2204898	AT4G25560	Locus:2131844	IDA	in vitro reconstitution assay with recombinant protein		PMID:17699755	5/22/09	BIOGRID
AT1G03840	Locus:2024193	AT4G37650	Locus:2120106	IPI	yeast two-hybrid assay	Publication:501723231	PMID:17785527	2/19/08	TAIR
AT1G03840	Locus:2024193	AT5G03150	Locus:2143543	IPI	yeast two-hybrid assay	Publication:501723231	PMID:17785527	2/19/08	TAIR
AT1G06770	Locus:2033103	AT5G05410	Locus:2153504	IPI	split-reporter assay	Publication:501725141	PMID:18552202	5/22/09	BIOGRID
AT1G06950	Locus:2007437	AT4G23430	Locus:2117969	IPI	Co-purification	Publication:501712698	PMID:15180984	5/22/09	BIOGRID
AT1G08370	Locus:2201821	AT5G13570	Locus:2173174	IPI	Co-immunoprecipitation	Publication:501720608	PMID:17158604	2/5/07	TAIR
AT1G08560	Locus:2025620	AT5G61210	Locus:2159426	IPI	yeast two-hybrid assay	Publication:1545968	PMID:11591731	3/3/06	TAIR
AT1G09020	Locus:2036079	AT3G55840	Locus:2081988	IPI	split-reporter assay	Publication:501720161	PMID:17028154	5/22/09	BIOGRID
AT1G09020	Locus:2036079	AT5G21170	Locus:2178963	IPI	yeast two-hybrid assay	Publication:501720161	PMID:17028154	5/22/09	BIOGRID
AT1G09530	Locus:2012345	AT1G09570	Locus:2012300	IDA	in vitro reconstitution assay with recombinant protein	Publication:501681444	PMID:12006496	5/22/09	BIOGRID
AT1G09530	Locus:2012345	AT2G01570	Locus:2005516	IPI	yeast two-hybrid assay	Publication:501724246	PMID:18216856	5/22/09	BIOGRID
AT1G09530	Locus:2012345	AT2G18790	Locus:2005515	IPI	yeast two-hybrid assay	Publication:1962	PMID:9845368	5/22/09	BIOGRID
AT1G09530	Locus:2012345	AT5G61380	Locus:2163198	IPI	yeast two-hybrid assay	Publication:501706884	PMID:12826627	5/8/06	TAIR
AT1G09570	Locus:2012300	AT2G02950	Locus:2056695	IDA	in vitro reconstitution assay with recombinant protein	Publication:1476	PMID:10348744	5/22/09	BIOGRID
AT1G09570	Locus:2012300	AT2G20180	Locus:2061634	IDA	in vitro binding assay	Publication:501714257	PMID:15486102	3/3/06	TAIR
AT1G09570	Locus:2012300	AT2G37678	Locus:4010713689	IPI	yeast two-hybrid assay	Publication:501718285	PMID:16332538	3/3/06	TAIR
AT1G09570	Locus:2012300	AT2G37680	Locus:2040761	IPI	yeast two-hybrid assay	Publication:501719575	PMID:16861711	5/22/09	BIOGRID
AT1G09570	Locus:2012300	AT5G02200	Locus:2185188	IPI	yeast two-hybrid assay	Publication:501719575	PMID:16861711	5/22/09	BIOGRID
AT1G09570	Locus:2012300	AT5G63310	Locus:2161922	IDA	in vitro reconstitution assay with recombinant protein	Publication:501714736	PMID:15561724	5/22/09	BIOGRID
AT1G10230	Locus:2012823	AT5G49610	Locus:2157834	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/2/06	TAIR
AT1G10470	Locus:2194584	AT2G45820	Locus:2050704	IPI	yeast two-hybrid assay	Publication:2114	PMID:9771897	5/22/09	BIOGRID
AT1G10470	Locus:2194584	AT3G21510	Locus:2089900	IPI	yeast two-hybrid assay	Publication:501722601	PMID:17545225	5/22/09	BIOGRID
